_id,id,school_name,country,country_logo,school_about_info,school_logo
6093a04f994d71231ad57465,71,Duquesne University,USA,usa.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1911"",""logo"":""""}"
6093a04f994d71231ad5746d,79,Manhattan College,USA,usa.png,"{""total_student"":""3195"",""int_student"":""800""}","{""founded"":""1853"",""logo"":""""}"
6093a04f994d71231ad57480,98,St. Thomas University,USA,usa.png,"{""total_student"":""4674"",""int_student"":""1600""}","{""founded"":""1961"",""logo"":""""}"
6093a04f994d71231ad574ab,141,Manukau Institute of Technology (MIT),New Zealand,new zealand.png,"{""total_student"":""?15,000"",""int_student"":""6000""}","{""founded"":""1975"",""logo"":""""}"
6093a04f994d71231ad574ad,143,Otago Polytechnic,New Zealand,new zealand.png,"{""total_student"":""?3,787"",""int_student"":""1000""}","{""founded"":""1870"",""logo"":""""}"
6093a04f994d71231ad574b7,152,NIM(Nanyang Institution Of Management),Singapore,singapore.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""2001"",""logo"":""""}"
6093a04f994d71231ad57431,17,Confederation College,Canada,canada.png,"{""total_student"":""7605"",""int_student"":""2000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad57433,19,Durham College,Canada,canada.png,"{""total_student"":""?30000"",""int_student"":""12000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5743e,30,Lethbridge College,Canada,canada.png,"{""total_student"":""4000"",""int_student"":""1200""}","{""founded"":"""",""logo"":""""}"
6093a04f994d71231ad57440,32,Memorial University,Canada,canada.png,"{""total_student"":""18204"",""int_student"":""3000""}","{""founded"":""1925"",""logo"":""""}"
6093a04f994d71231ad57442,34,Niagara College,Canada,canada.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1965"",""logo"":""""}"
6093a04f994d71231ad5745f,65,University of California - Los Angeles,USA,usa.png,"{""total_student"":""44947"",""int_student"":""8000""}","{""founded"":""1919"",""logo"":""""}"
6093a04f994d71231ad5746f,81,Missouri Western State University,USA,usa.png,"{""total_student"":""5145"",""int_student"":""700""}","{""founded"":""`1915"",""logo"":""""}"
6093a04f994d71231ad5748b,109,University of Minnesota Duluth,USA,usa.png,"{""total_student"":""11168"",""int_student"":""2000""}","{""founded"":""1947"",""logo"":""""}"
6093a04f994d71231ad57490,114,Vaughn College of Aeronautics and Technology,USA,usa.png,"{""total_student"":""1000"",""int_student"":""100""}","{""founded"":""1983"",""logo"":""""}"
6093a04f994d71231ad574a7,137,University of Applied Sciences Europe,Germany,germany.png,"{""total_student"":""3000"",""int_student"":""500""}","{""founded"":""2017"",""logo"":""""}"
6093a04f994d71231ad574b8,153,Stei institute,Singapore,singapore.png,"{""total_student"":""5000"",""int_student"":""980""}","{""founded"":""2009"",""logo"":""""}"
6093a04f994d71231ad574be,163,Lincoln University,USA,usa.png,"{""total_student"":""10000"",""int_student"":""3700""}","{""founded"":""1919"",""logo"":""""}"
6093a04f994d71231ad57429,9,Brunswick Community College,Canada,canada.png,"{""total_student"":""??4,000"",""int_student"":""980""}","{""founded"":""1974"",""logo"":""""}"
6093a04f994d71231ad57424,4,Arbutus College Of Communication Arts Business & Technology Inc,Canada,canada.png,"{""total_student"":""1000"",""int_student"":""250""}","{""founded"":""2002"",""logo"":""""}"
6093a04f994d71231ad5742c,12,CDI College,Canada,canada.png,"{""total_student"":""2500"",""int_student"":""600""}","{""founded"":""1970"",""logo"":""""}"
6093a04f994d71231ad57450,48,Toronto School of Management,Canada,canada.png,"{""total_student"":""3500"",""int_student"":""1000""}","{""founded"":""1992"",""logo"":""""}"
6093a04f994d71231ad57455,53,University of New Brunswick,Canada,canada.png,"{""total_student"":""8303"",""int_student"":""1799""}","{""founded"":""1785"",""logo"":""""}"
6093a04f994d71231ad5745c,62,Aviation Institute of Maintenance,USA,usa.png,"{""total_student"":""2500"",""int_student"":""500""}","{""founded"":""1969"",""logo"":""""}"
6093a04f994d71231ad5745d,63,"Brandeis International Business School,",USA,usa.png,"{""total_student"":""3000"",""int_student"":""700""}","{""founded"":""1994"",""logo"":""""}"
6093a04f994d71231ad5745e,64,Concordia University.,USA,usa.png,"{""total_student"":""14053"",""int_student"":""2500""}","{""founded"":""1915"",""logo"":""""}"
6093a04f994d71231ad57470,82,Moraine Valley Community College,USA,usa.png,"{""total_student"":""36000"",""int_student"":""300""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad57477,89,Nova South Eastern University,USA,usa.png,"{""total_student"":""4632"",""int_student"":""1500""}","{""founded"":""1891"",""logo"":""""}"
6093a04f994d71231ad5748d,111,University of New Hampshire,USA,usa.png,"{""total_student"":""15340"",""int_student"":""2500""}","{""founded"":""1866"",""logo"":""""}"
6093a04f994d71231ad574a1,131,College Universel - Campus Gatineau,Canada,canada.png,"{""total_student"":""1500"",""int_student"":""170""}","{""founded"":""1998"",""logo"":""""}"
6093a04f994d71231ad574b1,147,Universal College of Learning (UCOL),New Zealand,new zealand.png,"{""total_student"":""?7,047"",""int_student"":""17778""}","{""founded"":""1902"",""logo"":""""}"
6093a04f994d71231ad574b9,154,COLEMAN COLLEGE,Singapore,singapore.png,"{""total_student"":""5000"",""int_student"":""980""}","{""founded"":""2009"",""logo"":""""}"
6093a04f994d71231ad574bd,159,ASA College,USA,usa.png,"{""total_student"":""4000"",""int_student"":""1000""}","{""founded"":""1985"",""logo"":""""}"
6093a04f994d71231ad574bf,162,Lincoln University,New Zealand,new zealand.png,"{""total_student"":""6,279?"",""int_student"":""1029""}","{""founded"":""1990"",""logo"":""""}"
6093a04f994d71231ad574c6,171,CTC College,Cyprus,cyprus.png,"{""total_student"":""5000"",""int_student"":""1700""}","{""founded"":""1961"",""logo"":""""}"
6093a04f994d71231ad57435,21,Fanshawe College,Canada,canada.png,"{""total_student"":""?21000"",""int_student"":""7000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5744b,43,St. Clair College,Canada,canada.png,"{""total_student"":""5000"",""int_student"":""1000""}","{""founded"":""1966"",""logo"":""""}"
6093a04f994d71231ad57453,51,University of Calgary,Canada,canada.png,"{""total_student"":""25000"",""int_student"":""3000""}","{""founded"":""1944"",""logo"":""""}"
6093a04f994d71231ad5746a,76,Lipscomb University,USA,usa.png,"{""total_student"":""4632"",""int_student"":""1500""}","{""founded"":""1891"",""logo"":""""}"
6093a04f994d71231ad57471,83,Morningside College,USA,usa.png,"{""total_student"":""2000"",""int_student"":""500""}","{""founded"":""1894"",""logo"":""""}"
6093a04f994d71231ad57475,87,New Jersey Institute of Technology,USA,usa.png,"{""total_student"":""9878?"",""int_student"":""2000""}","{""founded"":""1885"",""logo"":""""}"
6093a04f994d71231ad57482,100,Texas A&M University Corpus Christi,USA,usa.png,"{""total_student"":""12236?"",""int_student"":""2000""}","{""founded"":""1947"",""logo"":""""}"
6093a04f994d71231ad57493,117,California State University,USA,usa.png,"{""total_student"":""10000"",""int_student"":""2000""}","{""founded"":""1965"",""logo"":""""}"
6093a04f994d71231ad57438,24,Humber College,Canada,canada.png,"{""total_student"":""83000"",""int_student"":""4000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad5743f,31,Loyalist College,Canada,canada.png,"{""total_student"":""12000"",""int_student"":""3000""}","{""founded"":""1967"",""logo"":""""}"
6093a04f994d71231ad57451,49,Trinity western university,Canada,canada.png,"{""total_student"":""4000"",""int_student"":""1000""}","{""founded"":""1962"",""logo"":""""}"
6093a04f994d71231ad57454,52,University of Fraser Valley,Canada,canada.png,"{""total_student"":""15000"",""int_student"":""3000""}","{""founded"":""1974"",""logo"":""""}"
6093a04f994d71231ad57460,66,Baylor University,USA,usa.png,"{""total_student"":""16787"",""int_student"":""1500""}","{""founded"":""1845"",""logo"":""""}"
6093a04f994d71231ad57464,70,Davis & Elkins College,USA,usa.png,"{""total_student"":""847"",""int_student"":""100""}","{""founded"":""1904"",""logo"":""""}"
6093a04f994d71231ad57479,91,Pierce College,USA,usa.png,"{""total_student"":""5000"",""int_student"":""790""}","{""founded"":""1947"",""logo"":""""}"
6093a04f994d71231ad574b0,146,Wellington Institute of Technology,New Zealand,new zealand.png,"{""total_student"":""3746"",""int_student"":""1000""}","{""founded"":""1904?"",""logo"":""""}"
